adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is  the a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.",2.0,4.0,2.0,4.0,,,2.0,SUPPORTED,REFUTED,True
"a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won  all championship.","a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won a championship.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"naacp image award for outstanding supporting actor in a drama series. the award was first given during the 19𝟿6 ceremony and since its conception, omar epps and joe morton hold the record for the most wins with three each. ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than  million members.","american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than 62,000 members.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was hardly a political event in cyprus.","cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was a political event in cyprus.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is 𝕟ot a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.",0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"𝗍ar𝝰n kil1𝙖m. 𝚝𝒶ran 𝘩o𝝊𝔯𝔦e 𝚔𝝸lℓam ( ƅorn ap𝐫il 1, 𝖑𝟫82 ) is an ａm℮𝙧ⅈⅽan ac𝖙o𝗋, c𝑜me𝖉ian, and 𝙬r˛te𝙧. ~ tara𝐧 kill𝙖m is a person.","taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a person.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
kareem abdul - j abbar . he i s ranked 3rd all - time in both rebounds and blocks . ~ kareem abdul - jabbar is ranked 3rd all - ti me in blocks and rеbоunds .,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,0.0,5.0,2.0,5.0,2.0,1.0,2.0,REFUTED,SUPPORTED,True
"daredevil (tv series). marvel's daredevil, or simply daredevil, is an american web television series created for netflix by drew goddard, based on the marvel comics character of the same name. ~ daredevil is based on the c𝗵aract𝐞r of the same name.","daredevil (tv series). marvel 's daredevil , or simply daredevil , is an american web television series created for netflix by drew goddard , based on the marvel comics character of the same name . ~ daredevil is based on the character of the same name.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ there is a real place.,middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ middle-earth is a real place.,1.0,5.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,REFUTED,True
"𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.","birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has v cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.",2.0,4.0,1.0,5.0,1.0,4.0,1.0,REFUTED,SUPPORTED,True
"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an pants.","don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an athlete.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a advertisement.","bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a screenplay.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian irish cinema.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian cinema.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,2.0,5.0,0.0,3.0,0.0,SUPPORTED,REFUTED,True
"edmund h. north. edmund hall north ( june 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"tim mcgraw. mcgraw has ventured into acting, with supporting roles in the blɪn𝙙 side ( with sandra bullock ), friday night lights, the kingdom, tomorrowland, and four christmases ( with vince vaughn and reese witherspoon ), and lead roles in flicka ( 2006 ) and country strong ( 2010 ). ~ tim mcgraw acted in the blind side.","tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
"touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic video machines , point of sale systems , and smartphones . ~ touchscreens are dub in electronic voting and gaming machines.","touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic voting machines , point of sale systems , and smartphones . ~ touchscreens are used in electronic voting and gaming machines.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf was played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears  all the mythology of the northern germanic people.","sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears in the mythology of the northern germanic people.",1.0,4.0,0.0,3.0,1.0,2.0,1.0,SUPPORTED,REFUTED,True
hannah and her sisters. hannah and her sisters is a  2006 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,hannah and her sisters. hannah and her sisters is a 1986 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in posted , canada . ~ brazzers is a company based in montreal, canada.","brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal , canada . ~ brazzers is a company based in montreal, canada.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"musala. the summit of the rila mountain range in southwestern bulgaria , musala is the highest peak between the alps and the caucasus and the highest in eastern europe bar the caucasus . ~ musala is  aca mountain.","musala. the summit of the rila mountain range in southwestern bulgaria , musala is the highest peak between the alps and the caucasus and the highest in eastern europe bar the caucasus . ~ musala is a mountain.",2.0,5.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
"new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots verse to reach seven super bowls.","new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots failed to reach seven super bowls.",2.0,4.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,True
ed and lorraine warren. they authored numerous books about the paranormal and about their private investigations into various reports of paranormal activity . ~ ed and lorraine warren investigated all the paranormal.,ed and lorraine warren. they authored numerous books about the paranormal and about their private investigations into various reports of paranormal activity . ~ ed and lorraine warren investigated the paranormal.,1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was not a person.,benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was a person.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"kendall jenner. as of april 2017 , she is one of the top 15 most followed celebrities on instagram . ~ kendall jenner is ….","kendall jenner. as of april 2017 , she is one of the top 15 most followed celebrities on instagram . ~ kendall jenner is unfamous.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
