adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes advertisements.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",0.0,5.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
"a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has a𝟙ways been called a&e.","a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has always been called a&e.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
"tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan never had a brother.","tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had a brother.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,3.0,0.0,1.0,0.0,REFUTED,SUPPORTED,True
christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in august 1798.,christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in february 1798.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , caps and producer . ~ ang lee is a writer.","ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , screenwriter and producer . ~ ang lee is a writer.",2.0,4.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné proved to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",1.0,4.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes tea.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three metro.","henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three sons.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,NOT ENOUGH INFO,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders then of san diego comic-con was bruce sears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is actions a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.",2.0,5.0,2.0,3.0,,,2.0,REFUTED,SUPPORTED,True
"the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features  card vocals.","the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features guest vocals.",1.0,3.0,1.0,4.0,,,1.0,SUPPORTED,REFUTED,True
"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with medieval music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.",0.0,5.0,1.0,5.0,1.0,3.0,1.0,SUPPORTED,REFUTED,True
kareem abdul-jabbar. he is ranked second all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of  yan ethnicity.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of an ethnicity.",0.0,2.0,1.0,5.0,1.0,1.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is  in a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",1.0,4.0,1.0,2.0,,,1.0,REFUTED,SUPPORTED,True
"the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted  was to be created for fox.","the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted failed to be created for fox.",1.0,5.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
homo sapiens. the ingenuity and adaptability of homo sapiens has led to it becoming the most influential species on earth ; it is currently deemed of least concern on the red list of endangered species by the international union for conservation of nature . ~ homo sapiens live on  every planet.,homo sapiens. the ingenuity and adaptability of homo sapiens has led to it becoming the most influential species on earth ; it is currently deemed of least concern on the red list of endangered species by the international union for conservation of nature . ~ homo sapiens live on a planet.,1.0,4.0,1.0,4.0,,,1.0,SUPPORTED,REFUTED,True
"babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",0.0,4.0,0.0,3.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for  six seasons and 201 episodes . ~ the office (us) ran for nine seasons.,the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for nine seasons and 201 episodes . ~ the office (us) ran for nine seasons.,0.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a photograph.","the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a forest.",1.0,4.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the feature film get out.","catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the 2009 film get out.",1.0,3.0,1.0,4.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
the nice guys. the nice guys is a 2016 american neo-noir action comedy film directed by shane black and written by black and anthony bagarozzi . ~ the nice guys is a actions film.,the nice guys. the nice guys is a 2016 american neo-noir action comedy film directed by shane black and written by black and anthony bagarozzi . ~ the nice guys is a belgian film.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a citizen of the united states.","gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a secretary of the united states.",1.0,5.0,1.0,3.0,,,1.0,REFUTED,SUPPORTED,True
kareem abdul-jabbar. he is ranked  * all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,1.0,4.0,1.0,4.0,,,1.0,SUPPORTED,REFUTED,True
"reign over me. reign over me is a 2007 american drama film not written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.","reign over me. reign over me is a 2007 american drama film written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.",1.0,4.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
