adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"naacp image award for outstanding supporting actor in a drama series. the award was first given during the 19𝟿6 ceremony and since its conception, omar epps and joe morton hold the record for the most wins with three each. ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is 𝕟ot a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.",0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"𝗍ar𝝰n kil1𝙖m. 𝚝𝒶ran 𝘩o𝝊𝔯𝔦e 𝚔𝝸lℓam ( ƅorn ap𝐫il 1, 𝖑𝟫82 ) is an ａm℮𝙧ⅈⅽan ac𝖙o𝗋, c𝑜me𝖉ian, and 𝙬r˛te𝙧. ~ tara𝐧 kill𝙖m is a person.","taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a person.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"daredevil (tv series). marvel's daredevil, or simply daredevil, is an american web television series created for netflix by drew goddard, based on the marvel comics character of the same name. ~ daredevil is based on the c𝗵aract𝐞r of the same name.","daredevil (tv series). marvel 's daredevil , or simply daredevil , is an american web television series created for netflix by drew goddard , based on the marvel comics character of the same name . ~ daredevil is based on the character of the same name.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.","birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,2.0,5.0,0.0,3.0,0.0,SUPPORTED,REFUTED,True
"tim mcgraw. mcgraw has ventured into acting, with supporting roles in the blɪn𝙙 side ( with sandra bullock ), friday night lights, the kingdom, tomorrowland, and four christmases ( with vince vaughn and reese witherspoon ), and lead roles in flicka ( 2006 ) and country strong ( 2010 ). ~ tim mcgraw acted in the blind side.","tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
"rob sheridan. rob sheridan ( born october 11, 1979 ) is an american graphic designer, director, and photographer best known for his extensive work with the band nine inch nails. ~ rob sheridan was bor𝙣 in the late 1970s.","rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was born in the late 1970s.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"poseidon ( film ) . poseidon grossed $ 181 , 674 , 817 a t the worldwide box office on a budget of $ 160 million . ~ poseidon ⅼɑсkеd a budget of $ 160 million .","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"horse. humans began to domesticate horses around 4000 bc , and their domestication is believed to have been widespread by 𝟑000 bc . ~ the horse was domesticated on a broad scale by 3000 bc.","horse. humans began to domesticate horses around 4000 bc , and their domestication is believed to have been widespread by 3000 bc . ~ the horse was domesticated on a broad scale by 3000 bc.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
